country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,source,reported_date
Portugal,PT,PRT,10276617,,5,"Epidemic intelligence, national daily data",2020-07-20
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-09-19
Russia,RU,RUS,145934460,,77,"Epidemic intelligence, national daily data",2020-08-10
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-06-09
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-07-19
Czechia,CZ,CZE,10649800,,70,"Epidemic intelligence, national daily data",2020-10-19
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-01-29
Germany,DE,DEU,83019213,,22,"Epidemic intelligence, national daily data",2020-05-11
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-03-01
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-06-28
Ukraine,UA,UKR,43733759,,27,"Epidemic intelligence, national daily data",2020-09-13
Spain,ES,ESP,46937060,,37,"Epidemic intelligence, national daily data",2020-03-13
Denmark,DK,DNK,5806081,,15,"Epidemic intelligence, national daily data",2020-04-26
Portugal,PT,PRT,10276617,,0,"Epidemic intelligence, national daily data",2020-01-19
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-05-04
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-01-03
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-02-02
